,dtype,n_non_null,n_missing,pct_missing,n_unique
PUBID,int64,6436,0,0.0,6436
SQFT,int64,6436,0,0.0,410
FLCEILHT,int64,6436,0,0.0,41
WKHRS,int64,6436,0,0.0,143
NWKER,int64,6436,0,0.0,356
HDD65,int64,6436,0,0.0,4407
CDD65,int64,6436,0,0.0,2917
NFLOOR,int64,6436,0,0.0,11
YRCONC,int64,6436,0,0.0,8
GLSSPC,int64,6436,0,0.0,6
PBA,int64,6436,0,0.0,20
WLCNS,int64,6436,0,0.0,8
RFCNS,int64,6436,0,0.0,8
MAINHT,float64,6007,429,6.67,35
MAINCL,float64,5980,456,7.09,12
OPEN24,int64,6436,0,0.0,2
FINALWT,float64,6436,0,0.0,929
MFBTU,float64,6357,79,1.23,6355
