MAINHT,n_unweighted,weighted_buildings,pct_unweighted,pct_weighted
10.0,1228,959301.55,19.32,17.09
2.0,928,898341.58,14.6,16.01
9.0,433,802034.06,6.81,14.29
0.0,350,711860.3,5.51,12.68
11.0,1365,349938.41,21.47,6.23
4.0,318,343139.2,5.0,6.11
1.0,126,261168.55,1.98,4.65
5.0,171,248183.25,2.69,4.42
20.0,71,206406.23,1.12,3.68
13.0,145,184523.67,2.28,3.29
17.0,107,97935.51,1.68,1.74
16.0,33,87044.63,0.52,1.55
24.0,26,69045.74,0.41,1.23
27.0,406,57107.08,6.39,1.02
21.0,31,50495.85,0.49,0.9
7.0,239,46851.98,3.76,0.83
3.0,83,46489.64,1.31,0.83
12.0,41,43721.85,0.64,0.78
18.0,13,38566.270000000004,0.2,0.69
30.0,10,27248.89,0.16,0.49
28.0,101,20969.98,1.59,0.37
40.0,6,17477.28,0.09,0.31
22.0,22,16871.38,0.35,0.3
37.0,3,7422.75,0.05,0.13
31.0,2,5921.94,0.03,0.11
14.0,6,5208.37,0.09,0.09
42.0,80,3147.75,1.26,0.06
39.0,2,2357.88,0.03,0.04
29.0,1,1784.4,0.02,0.03
23.0,1,1195.14,0.02,0.02
32.0,1,611.8,0.02,0.01
8.0,3,297.28999999999996,0.05,0.01
36.0,1,137.69,0.02,0.0
33.0,2,43.5,0.03,0.0
41.0,1,11.36,0.02,0.0
15.0,1,8.74,0.02,0.0
