PBA,n_unweighted,weighted_buildings,pct_unweighted,pct_weighted
2,1329,970302.56,20.91,17.29
26,349,866297.67,5.49,15.43
5,712,788208.58,11.2,14.04
13,481,488199.37,7.57,8.7
12,271,438605.53,4.26,7.81
14,936,437485.52999999997,14.72,7.79
25,338,346271.63,5.32,6.17
15,218,286466.91,3.43,5.1
18,418,169453.04,6.58,3.02
23,208,165658.33,3.27,2.95
6,91,162912.02,1.43,2.9
8,217,128540.34999999999,3.41,2.29
1,85,124421.31,1.34,2.22
91,82,97522.21,1.29,1.74
7,105,81217.67,1.65,1.45
17,114,37551.19,1.79,0.67
4,69,10837.4,1.09,0.19
16,276,8528.67,4.34,0.15
11,23,3451.19,0.36,0.06
24,35,940.33,0.55,0.02
