MAINHT,weighted_mean_log_EUI
8.0,5.381224969079619
33.0,5.373944102603173
14.0,4.822645178583806
41.0,4.690937476923488
36.0,4.667447862009632
15.0,4.650316693382052
27.0,4.587281055060434
42.0,4.457781729556266
11.0,4.3022865198031806
28.0,4.278297222254515
10.0,4.213564586606635
12.0,4.211857730010026
17.0,4.171921682306273
16.0,4.121937920566616
3.0,4.109420570199049
9.0,4.0165409361929525
2.0,3.999569974549194
13.0,3.942914798803867
7.0,3.688888138494167
4.0,3.6632528176097248
1.0,3.6201523208917195
18.0,3.4579192082003174
5.0,3.424684902107323
21.0,3.4176623488077285
37.0,3.3445091635401534
22.0,3.2874164926232274
29.0,3.263225669202069
32.0,3.203961964055714
40.0,3.1029813438239104
39.0,2.996754773178196
20.0,2.9064998055600118
24.0,2.868298394491407
0.0,2.838228484031475
30.0,2.314499900388237
31.0,2.1820520600168063
23.0,2.063820160776879
