predictor,beta,SE_JK2,t,p_value,CI_95_lo,CI_95_hi,sig
const,1.8782,0.303,6.198,0.0,1.2795,2.477,***
ln_SQFT,-0.1391,0.0197,-7.046,0.0,-0.1781,-0.1001,***
FLCEILHT_capped,0.0121,0.003,4.087,0.0001,0.0062,0.0179,***
ceiling_over_50ft,-0.0402,0.413,-0.097,0.9225,-0.8562,0.7758,
worker_density_per_1000sqft,0.1073,0.0164,6.552,0.0,0.075,0.1397,***
WKHRS,0.0053,0.001,5.514,0.0,0.0034,0.0072,***
HDD65,0.0001,0.0,3.12,0.0022,0.0,0.0001,**
CDD65,0.0001,0.0,2.509,0.0132,0.0,0.0001,*
GLSSPC,0.0643,0.0168,3.819,0.0002,0.031,0.0976,***
MAINCL_1.0,0.2834,0.0731,3.877,0.0002,0.139,0.4279,***
MAINCL_10.0,1.4292,0.1643,8.701,0.0,1.1047,1.7538,***
MAINCL_12.0,-0.561,0.599,-0.937,0.3505,-1.7447,0.6226,
MAINCL_14.0,0.6938,0.2534,2.738,0.0069,0.1931,1.1945,**
MAINCL_16.0,0.3545,0.1431,2.477,0.0144,0.0717,0.6373,*
MAINCL_2.0,0.4658,0.0788,5.912,0.0,0.3101,0.6215,***
MAINCL_3.0,0.5667,0.0966,5.867,0.0,0.3759,0.7576,***
MAINCL_4.0,0.3027,0.093,3.257,0.0014,0.1191,0.4864,**
MAINCL_5.0,0.2067,0.0896,2.307,0.0224,0.0297,0.3837,*
MAINCL_6.0,0.326,0.1958,1.665,0.0981,-0.061,0.7129,
MAINCL_7.0,1.2876,1.3144,0.98,0.3289,-1.3096,3.8847,
MAINCL_8.0,0.7238,0.1956,3.7,0.0003,0.3373,1.1103,***
MAINHT_1.0,0.418,0.1163,3.595,0.0004,0.1882,0.6477,***
MAINHT_10.0,0.7346,0.1065,6.898,0.0,0.5241,0.945,***
MAINHT_11.0,1.0125,0.1138,8.902,0.0,0.7878,1.2373,***
MAINHT_12.0,0.8027,0.1556,5.159,0.0,0.4953,1.1101,***
MAINHT_13.0,1.059,0.1347,7.86,0.0,0.7928,1.3253,***
MAINHT_14.0,0.7378,0.2745,2.687,0.008,0.1953,1.2802,**
MAINHT_15.0,1.5724,0.2298,6.842,0.0,1.1183,2.0265,***
MAINHT_16.0,1.0409,0.1717,6.063,0.0,0.7016,1.3801,***
MAINHT_17.0,0.9189,0.153,6.007,0.0,0.6166,1.2211,***
MAINHT_18.0,0.6735,0.2007,3.355,0.001,0.2769,1.0702,**
MAINHT_2.0,0.4217,0.1028,4.104,0.0001,0.2186,0.6247,***
MAINHT_20.0,-0.023,0.1342,-0.171,0.8644,-0.2881,0.2422,
MAINHT_21.0,-0.0282,0.2018,-0.14,0.8892,-0.4269,0.3706,
MAINHT_22.0,0.1682,0.1789,0.94,0.3488,-0.1853,0.5217,
MAINHT_23.0,-0.8841,0.9257,-0.955,0.3411,-2.7132,0.945,
MAINHT_24.0,-0.0744,0.2402,-0.31,0.7572,-0.549,0.4002,
MAINHT_27.0,1.2916,0.1265,10.21,0.0,1.0416,1.5416,***
MAINHT_28.0,1.1525,0.2436,4.731,0.0,0.6711,1.6339,***
MAINHT_29.0,-0.1835,0.2527,-0.726,0.4688,-0.6828,0.3158,
MAINHT_3.0,0.815,0.1758,4.635,0.0,0.4676,1.1625,***
MAINHT_30.0,-0.5499,0.352,-1.562,0.1204,-1.2455,0.1457,
MAINHT_31.0,-0.6637,0.7003,-0.948,0.3448,-2.0475,0.7201,
MAINHT_32.0,-0.1467,0.2164,-0.678,0.499,-0.5743,0.2809,
MAINHT_33.0,1.2586,0.2441,5.157,0.0,0.7763,1.7409,***
MAINHT_36.0,0.2603,0.3109,0.837,0.4038,-0.354,0.8746,
MAINHT_37.0,0.0363,0.2082,0.174,0.8619,-0.3751,0.4477,
MAINHT_39.0,0.1856,0.1011,1.835,0.0685,-0.0142,0.3853,
MAINHT_4.0,0.3804,0.1254,3.033,0.0029,0.1326,0.6282,**
MAINHT_40.0,0.305,0.243,1.255,0.2114,-0.1752,0.7852,
MAINHT_41.0,0.2336,0.2797,0.835,0.405,-0.3191,0.7862,
MAINHT_42.0,0.9727,0.1321,7.364,0.0,0.7117,1.2336,***
MAINHT_5.0,0.3069,0.1588,1.932,0.0552,-0.007,0.6207,
MAINHT_7.0,0.5648,0.1561,3.618,0.0004,0.2563,0.8732,***
MAINHT_8.0,0.9755,0.2034,4.796,0.0,0.5736,1.3773,***
MAINHT_9.0,0.834,0.0934,8.926,0.0,0.6494,1.0186,***
NFLOOR,0.0217,0.0149,1.462,0.1458,-0.0076,0.0511,
OPEN24_2,0.5579,0.1445,3.861,0.0002,0.2724,0.8435,***
PBA_11,1.7104,0.3124,5.475,0.0,1.0931,2.3278,***
PBA_12,0.3863,0.2509,1.54,0.1258,-0.1095,0.882,
PBA_13,0.7001,0.2393,2.926,0.004,0.2273,1.173,**
PBA_14,0.6679,0.2598,2.571,0.0111,0.1546,1.1812,*
PBA_15,1.7862,0.262,6.818,0.0,1.2685,2.3038,***
PBA_16,1.7156,0.2358,7.276,0.0,1.2497,2.1815,***
PBA_17,1.5508,0.2708,5.726,0.0,1.0157,2.0859,***
PBA_18,1.2206,0.2321,5.26,0.0,0.7621,1.6792,***
PBA_2,0.6323,0.2462,2.569,0.0112,0.1459,1.1188,*
PBA_23,1.3608,0.2622,5.189,0.0,0.8427,1.879,***
