predictor,beta_standardized,abs_beta
MAINHT_11.0,0.4158,0.4158
PBA_16,0.3497,0.3497
PBA_15,0.3251,0.3251
MAINHT_27.0,0.3158,0.3158
PBA_18,0.3026,0.3026
MAINHT_10.0,0.29,0.29
WKHRS,0.2789,0.2789
PBA_2,0.2572,0.2572
ln_SQFT,-0.2509,0.2509
PBA_23,0.2421,0.2421
PBA_14,0.2367,0.2367
OPEN24_2,0.2355,0.2355
MAINCL_2.0,0.2315,0.2315
MAINCL_3.0,0.229,0.229
PBA_6,0.2197,0.2197
MAINHT_9.0,0.2101,0.2101
PBA_17,0.2058,0.2058
PBA_13,0.1852,0.1852
MAINHT_13.0,0.1581,0.1581
MAINHT_2.0,0.1489,0.1489
MAINHT_28.0,0.1441,0.1441
PBA_26,0.1364,0.1364
PBA_8,0.1325,0.1325
worker_density_per_1000sqft,0.131,0.131
PBA_4,0.1306,0.1306
PBA_7,0.127,0.127
MAINHT_17.0,0.1182,0.1182
PBA_25,0.1179,0.1179
HDD65,0.1105,0.1105
MAINHT_42.0,0.1084,0.1084
MAINHT_7.0,0.1074,0.1074
PBA_11,0.1027,0.1027
PBA_91,0.0937,0.0937
MAINHT_3.0,0.0925,0.0925
FLCEILHT_capped,0.0892,0.0892
MAINCL_16.0,0.0833,0.0833
MAINCL_1.0,0.0829,0.0829
MAINHT_4.0,0.0829,0.0829
GLSSPC,0.0787,0.0787
PBA_12,0.078,0.078
CDD65,0.0766,0.0766
MAINHT_16.0,0.0748,0.0748
MAINCL_4.0,0.0695,0.0695
MAINHT_12.0,0.0643,0.0643
NFLOOR,0.0633,0.0633
RFCNS_7,0.0625,0.0625
MAINHT_1.0,0.0583,0.0583
PBA_24,0.0576,0.0576
PBA_5,0.0553,0.0553
MAINCL_5.0,0.0517,0.0517
MAINHT_5.0,0.0497,0.0497
RFCNS_6,0.0404,0.0404
MAINCL_8.0,0.0395,0.0395
WLCNS_2,-0.0338,0.0338
MAINCL_14.0,0.0337,0.0337
YRCONC,0.0332,0.0332
MAINCL_7.0,0.0323,0.0323
MAINCL_6.0,0.0307,0.0307
MAINHT_18.0,0.0304,0.0304
RFCNS_8,-0.0283,0.0283
WLCNS_6,0.027,0.027
MAINHT_14.0,0.0227,0.0227
MAINHT_33.0,0.0223,0.0223
MAINHT_30.0,-0.0218,0.0218
MAINHT_8.0,0.0212,0.0212
MAINHT_15.0,0.0197,0.0197
MAINCL_10.0,0.0179,0.0179
WLCNS_8,-0.0173,0.0173
WLCNS_5,-0.0159,0.0159
RFCNS_5,-0.0145,0.0145
WLCNS_4,-0.0136,0.0136
WLCNS_7,0.0124,0.0124
MAINHT_31.0,-0.0118,0.0118
MAINHT_23.0,-0.0111,0.0111
MAINHT_22.0,0.0099,0.0099
MAINHT_40.0,0.0094,0.0094
RFCNS_2,0.0082,0.0082
RFCNS_4,-0.0078,0.0078
MAINCL_12.0,-0.007,0.007
RFCNS_3,0.0064,0.0064
MAINHT_24.0,-0.0047,0.0047
MAINHT_39.0,0.0033,0.0033
MAINHT_36.0,0.0033,0.0033
MAINHT_41.0,0.0029,0.0029
MAINHT_20.0,-0.0024,0.0024
MAINHT_29.0,-0.0023,0.0023
MAINHT_21.0,-0.002,0.002
ceiling_over_50ft,-0.0019,0.0019
WLCNS_3,0.0019,0.0019
MAINHT_32.0,-0.0018,0.0018
MAINHT_37.0,0.0008,0.0008
