cohort_i,cohort_j,diff_log_EUI,SE_JK2,t,p_uncorrected,p_bonferroni,sig_at_0.05_family,pct_change_EUI_i_vs_j
Pre-1946,1946-1969,0.0249,0.0811,0.308,0.7588,1.0,False,2.5
Pre-1946,1970-1989,0.0952,0.0851,1.12,0.2647,1.0,False,10.0
Pre-1946,1990-2012,0.078,0.0751,1.039,0.3007,1.0,False,8.1
Pre-1946,2013-2018,0.0689,0.1519,0.453,0.6511,1.0,False,7.1
1946-1969,1970-1989,0.0703,0.0741,0.949,0.3442,1.0,False,7.3
1946-1969,1990-2012,0.053,0.0713,0.744,0.4577,1.0,False,5.4
1946-1969,2013-2018,0.0439,0.1461,0.301,0.7641,1.0,False,4.5
1970-1989,1990-2012,-0.0172,0.0743,-0.232,0.817,1.0,False,-1.7
1970-1989,2013-2018,-0.0264,0.1236,-0.213,0.8313,1.0,False,-2.6
1990-2012,2013-2018,-0.0091,0.1425,-0.064,0.9489,1.0,False,-0.9
