resample,repeat,fold,model,rmse_log_EUI,mae_log_EUI
1,1,1,OLS,0.6072416566176498,0.4345991296512491
1,1,1,Random Forest,0.6216398048579004,0.4407695776779521
1,1,1,XGBoost,0.591311021813521,0.4262668524853133
2,1,2,OLS,0.603152326871161,0.4419622807958405
2,1,2,Random Forest,0.6264048363226579,0.4485829449973987
2,1,2,XGBoost,0.59668829236171,0.4189383374961852
3,1,3,OLS,0.597661556731961,0.44325169138328185
3,1,3,Random Forest,0.6137594814954015,0.4462162358896866
3,1,3,XGBoost,0.5838009560639312,0.420397402190043
4,1,4,OLS,0.6784223067499671,0.45987043526798194
4,1,4,Random Forest,0.7270492251109391,0.47198029086597365
4,1,4,XGBoost,0.6914310221856987,0.4525372972287274
5,1,5,OLS,0.5969905614228851,0.4434720431181066
5,1,5,Random Forest,0.6176193493047506,0.45407388394358933
5,1,5,XGBoost,0.5832926518614613,0.4247698870969404
6,2,1,OLS,0.6246241507561745,0.4339570850405659
6,2,1,Random Forest,0.6457637614874057,0.44659451387490234
6,2,1,XGBoost,0.6288265371656295,0.4249434028028889
7,2,2,OLS,0.6196316227357141,0.4468559783811646
7,2,2,Random Forest,0.6529891625051668,0.4541160611953896
7,2,2,XGBoost,0.615467769224767,0.43146545792378654
8,2,3,OLS,0.6262179558049593,0.4588805512130984
8,2,3,Random Forest,0.6618281593505975,0.463166661852453
8,2,3,XGBoost,0.6255139445079622,0.4363243612206153
9,2,4,OLS,0.6012182888119085,0.4403816288678655
9,2,4,Random Forest,0.616277079692186,0.4452471968335212
9,2,4,XGBoost,0.5822762013606393,0.41676131142424516
10,2,5,OLS,0.6054531832150307,0.4456319311757213
10,2,5,Random Forest,0.6220557626396751,0.4493122907036476
10,2,5,XGBoost,0.564862527093238,0.42467225953400667
11,3,1,OLS,0.6248284323174651,0.45000797932883313
11,3,1,Random Forest,0.6600896598295412,0.4540274729473238
11,3,1,XGBoost,0.6138005577363731,0.4316541100860668
12,3,2,OLS,0.62635396095232,0.4479383159770187
12,3,2,Random Forest,0.649982275549618,0.45774654128862113
12,3,2,XGBoost,0.6032765498722383,0.42341501220703115
13,3,3,OLS,0.6196388946400109,0.4583428177448818
13,3,3,Random Forest,0.6446415676111704,0.46360549841380294
13,3,3,XGBoost,0.6109717296329378,0.4396116490172868
14,3,4,OLS,0.5908129888854003,0.42793606672896606
14,3,4,Random Forest,0.6081022973597267,0.4352865448422983
14,3,4,XGBoost,0.5645125374913117,0.40883413857775946
15,3,5,OLS,0.6183471190950462,0.4427591102423992
15,3,5,Random Forest,0.6425265469204592,0.4487281739959386
15,3,5,XGBoost,0.6201485256542751,0.43110966578648696
16,4,1,OLS,0.6436753085321604,0.4597131063003547
16,4,1,Random Forest,0.6907573596981688,0.477817288084163
16,4,1,XGBoost,0.6382098202740937,0.44208861192358156
17,4,2,OLS,0.6754740562903737,0.4605653421295258
17,4,2,Random Forest,0.7066690839249065,0.46223265999716695
17,4,2,XGBoost,0.6606715250188515,0.438914708825062
18,4,3,OLS,0.6321389076536555,0.45412608163369605
18,4,3,Random Forest,0.6508392007225893,0.4660154653939765
18,4,3,XGBoost,0.6322789724083445,0.4482747274479273
19,4,4,OLS,0.5648335975661358,0.42780423050485233
19,4,4,Random Forest,0.5862364690318601,0.4341164106244676
19,4,4,XGBoost,0.5442374132921564,0.4056016670309703
20,4,5,OLS,0.5603956783026907,0.41803549793957434
20,4,5,Random Forest,0.56789030446608,0.42060465151116466
20,4,5,XGBoost,0.5537537311428631,0.4083103577774553
21,5,1,OLS,0.5958636503559809,0.44197059645450887
21,5,1,Random Forest,0.612796299680865,0.44668614796195716
21,5,1,XGBoost,0.5794538274333371,0.4227225385151327
22,5,2,OLS,0.6093781026060877,0.4425336782683697
22,5,2,Random Forest,0.6303792783727226,0.44330152657591787
22,5,2,XGBoost,0.5854642086139148,0.4156994576379502
23,5,3,OLS,0.6297535577841792,0.4577828463894269
23,5,3,Random Forest,0.6542593435543561,0.46683903603729315
23,5,3,XGBoost,0.6244790133097761,0.44866778600787216
24,5,4,OLS,0.6135074606030095,0.4368080306609556
24,5,4,Random Forest,0.6404291608655561,0.4528919483003748
24,5,4,XGBoost,0.61527608040521,0.42694899789522206
25,5,5,OLS,0.6348542168834466,0.4449264959216206
25,5,5,Random Forest,0.6687232347765125,0.45432036533573494
25,5,5,XGBoost,0.6273901860917087,0.43103533500492447
