variable,macro_F1_drop,sd,share_pct,baseline_macro_F1
WKHRS,0.1013,0.0098,36.8597,0.485
PBA (principal activity),0.0554,0.007,20.1602,0.485
HDD65,0.0407,0.0072,14.7989,0.485
worker_density_per_1000sqft,0.0391,0.011,14.2304,0.485
OPEN24 (24-hour operation),0.0185,0.0062,6.7398,0.485
ln_SQFT,0.0129,0.0044,4.6864,0.485
WLCNS (wall construction),0.0046,0.007,1.6909,0.485
ceiling_over_50ft,0.0014,0.0007,0.5063,0.485
NFLOOR,0.0008,0.0084,0.2858,0.485
CDD65,0.0001,0.0154,0.0416,0.485
RFCNS (roof construction),-0.0003,0.0077,0.0,0.485
GLSSPC,-0.0015,0.0049,0.0,0.485
FLCEILHT_capped,-0.0018,0.0078,0.0,0.485
YRCONC,-0.0049,0.0025,0.0,0.485
